Orthogroup	pbar_genome.OGS.1.2.maker.proteins	acep_genome.OGS.1.2.maker.proteins
OG0000065	PBAR_PB26929-RA, PBAR_PB26927-RA	ACEP_ACEP_00001049-RA
OG0000065	PBAR_PB26926-RA	ACEP_ACEP_00001051-RA
OG0000065	PBAR_PB26928-RA	ACEP_ACEP_00001059-RA, ACEP_ACEP_00001056-RA
OG0000066	PBAR_PB10480-RA, PBAR_PB11314-RA, PBAR_PB11306-RA, PBAR_PB19223-RA	ACEP_ACEP_00010463-RA
OG0000066	PBAR_PB15126-RA, PBAR_PB17086-RA, PBAR_PB18371-RA, PBAR_PB18205-RA, PBAR_PB14236-RA	ACEP_ACEP_00005956-RA
OG0000066	PBAR_PB13709-RA	ACEP_ACEP_00009402-RA
OG0000067	PBAR_PB21569-RA, PBAR_PB10242-RA	ACEP_ACEP_00001292-RA
OG0000069	PBAR_PB14300-RA	ACEP_ACEP_00017186-RA
OG0000069	PBAR_PB14763-RA, PBAR_PB26458-RA, PBAR_PB10534-RA	ACEP_ACEP_00002716-RA
OG0000070	PBAR_PB10440-RA	ACEP_ACEP_00010201-RA, ACEP_ACEP_00017759-RA, ACEP_ACEP_00017758-RA, ACEP_ACEP_00017760-RA, ACEP_ACEP_00017763-RA, ACEP_ACEP_00010198-RA, ACEP_ACEP_00010190-RB, ACEP_ACEP_00010190-RA, ACEP_ACEP_00010191-RA, ACEP_ACEP_00010193-RA, ACEP_ACEP_00010195-RA, ACEP_ACEP_00010196-RA, ACEP_ACEP_00010197-RA, ACEP_ACEP_00010194-RA, ACEP_ACEP_00010192-RA, ACEP_ACEP_00017762-RA
OG0000071	PBAR_PB17433-RA, PBAR_PB26648-RA, PBAR_PB14273-RA, PBAR_PB17396-RA, PBAR_PB18999-RA, PBAR_PB23377-RA, PBAR_PB17389-RA, PBAR_PB14274-RA, PBAR_PB26812-RA, PBAR_PB20343-RA, PBAR_PB11900-RA, PBAR_PB10527-RA, PBAR_PB10618-RA, PBAR_PB17432-RA, PBAR_PB17431-RA	ACEP_ACEP_00010659-RA
OG0000075	PBAR_PB21504-RA	ACEP_ACEP_00015550-RA
OG0000075	PBAR_PB21279-RA	ACEP_ACEP_00016287-RA
OG0000075	PBAR_PB20950-RA	ACEP_ACEP_00002851-RA
OG0000075	PBAR_PB26849-RA	ACEP_ACEP_00012797-RA
OG0000076	PBAR_PB18623-RA, PBAR_PB18618-RA	ACEP_ACEP_00005232-RA
OG0000076	PBAR_PB11506-RA	ACEP_ACEP_00008516-RA
OG0000076	PBAR_PB16421-RA	ACEP_ACEP_00012612-RA
OG0000076	PBAR_PB11385-RA	ACEP_ACEP_00013948-RA
OG0000076	PBAR_PB11509-RA	ACEP_ACEP_00008517-RA
OG0000077	PBAR_PB14823-RA	ACEP_ACEP_00011040-RA, ACEP_ACEP_00013709-RA, ACEP_ACEP_00009188-RA, ACEP_ACEP_00005846-RA, ACEP_ACEP_00001691-RA, ACEP_ACEP_00013710-RA, ACEP_ACEP_00016295-RA, ACEP_ACEP_00005021-RA, ACEP_ACEP_00015567-RA, ACEP_ACEP_00003596-RA, ACEP_ACEP_00011576-RA, ACEP_ACEP_00013370-RA, ACEP_ACEP_00018032-RA, ACEP_ACEP_00013360-RA, ACEP_ACEP_00009167-RA
OG0000079	PBAR_PB16077-RA	ACEP_ACEP_00006947-RA, ACEP_ACEP_00006945-RA
OG0000079	PBAR_PB19414-RA	ACEP_ACEP_00002291-RA
OG0000079	PBAR_PB26548-RA	ACEP_ACEP_00017989-RA
OG0000079	PBAR_PB21864-RA	ACEP_ACEP_00014126-RA, ACEP_ACEP_00006921-RA
OG0000081	PBAR_pbar_Ddc-1	ACEP_ACEP_00014091-RA
OG0000081	PBAR_PB15942-RA	ACEP_ACEP_00014076-RA
OG0000081	PBAR_PB17456-RA	ACEP_ACEP_00013118-RA
OG0000081	PBAR_PB24364-RA	ACEP_ACEP_00018112-RA, ACEP_ACEP_00007446-RA, ACEP_ACEP_00007447-RA
OG0000082	PBAR_PB18139-RA	ACEP_ACEP_00003731-RA, ACEP_ACEP_00003729-RA
OG0000082	PBAR_PB16064-RA	ACEP_ACEP_00006941-RA, ACEP_ACEP_00012742-RA
OG0000082	PBAR_PB21863-RA, PBAR_PB15655-RA	ACEP_ACEP_00006784-RA
OG0000083	PBAR_PB21553-RA	ACEP_ACEP_00014640-RA
OG0000084	PBAR_CG_02544486, PBAR_pbar_for-1, PBAR_CG_02544470, PBAR_CG_02544464, PBAR_CG_02544396	ACEP_ACEP_00004210-RA
OG0000084	PBAR_PB17896-RA	ACEP_ACEP_00007488-RA
OG0000084	PBAR_PB15161-RA	ACEP_ACEP_00009190-RA
OG0000085	PBAR_PB13931-RA	ACEP_ACEP_00017895-RA
OG0000085	PBAR_PB13932-RA	ACEP_ACEP_00013631-RA
OG0000085	PBAR_PB17256-RA	ACEP_ACEP_00016389-RA
OG0000085	PBAR_PB26439-RA, PBAR_PB13933-RA	ACEP_ACEP_00013632-RA
OG0000086	PBAR_PB26142-RA	ACEP_ACEP_00004263-RA
OG0000086	PBAR_PB22242-RA	ACEP_ACEP_00004272-RA, ACEP_ACEP_00002832-RA, ACEP_ACEP_00016355-RA, ACEP_ACEP_00004262-RA
OG0000087	PBAR_PB12811-RA, PBAR_PB14377-RA	ACEP_ACEP_00009639-RA
OG0000088	PBAR_PB18870-RA, PBAR_PB25338-RA, PBAR_PB22809-RA, PBAR_PB25326-RA, PBAR_PB19931-RA, PBAR_PB10324-RA, PBAR_PB19005-RA, PBAR_PB22078-RA, PBAR_PB10323-RA, PBAR_PB19138-RA, PBAR_PB25329-RA, PBAR_PB22808-RA, PBAR_PB19929-RA, PBAR_PB21072-RA, PBAR_PB25327-RA	ACEP_ACEP_00003818-RA
OG0000089	PBAR_PB25223-RA	ACEP_ACEP_00010073-RA
OG0000093	PBAR_PB14779-RA	ACEP_ACEP_00001857-RA
OG0000093	PBAR_PB17802-RA	ACEP_ACEP_00005885-RA, ACEP_ACEP_00005637-RA, ACEP_ACEP_00002341-RA, ACEP_ACEP_00012213-RA, ACEP_ACEP_00010345-RA, ACEP_ACEP_00003744-RA, ACEP_ACEP_00004956-RA, ACEP_ACEP_00013390-RA, ACEP_ACEP_00001045-RA, ACEP_ACEP_00012822-RA, ACEP_ACEP_00012239-RA, ACEP_ACEP_00005883-RA
OG0000094	PBAR_PB20815-RA	ACEP_ACEP_00008314-RA
OG0000094	PBAR_PB19694-RA	ACEP_ACEP_00004174-RA
OG0000094	PBAR_PB21383-RA	ACEP_ACEP_00013609-RA
OG0000094	PBAR_pbar_WBSCR17_like-1	ACEP_ACEP_00006332-RA
OG0000094	PBAR_PB19069-RA	ACEP_ACEP_00002453-RA
OG0000095	PBAR_Pbar_nAChRa1-RB	ACEP_ACEP_00005727-RA
OG0000095	PBAR_PB14640-RA	ACEP_ACEP_00004814-RA
OG0000095	PBAR_PB18715-RA	ACEP_ACEP_00004888-RA
OG0000095	PBAR_PB23152-RA	ACEP_ACEP_00003629-RA
OG0000095	PBAR_PB24191-RA	ACEP_ACEP_00005734-RA
OG0000096	PBAR_PB21044-RA	ACEP_ACEP_00016703-RA
OG0000096	PBAR_PB21047-RA	ACEP_ACEP_00011187-RA
OG0000096	PBAR_PB21049-RA, PBAR_PB21048-RA, PBAR_PB26857-RA, PBAR_PB26856-RA, PBAR_PB21051-RA, PBAR_PB21050-RA	ACEP_ACEP_00016483-RA, ACEP_ACEP_00011185-RA
OG0000097	PBAR_PB23751-RA	ACEP_ACEP_00012330-RA
OG0000101	PBAR_PB22326-RA	ACEP_ACEP_00011522-RA
OG0000102	PBAR_PB15501-RA, PBAR_PB11181-RA, PBAR_PB13915-RA, PBAR_PB19173-RA, PBAR_PB15334-RA	ACEP_ACEP_00002247-RA, ACEP_ACEP_00008060-RA
OG0000103	PBAR_PB15154-RA	ACEP_ACEP_00005015-RA, ACEP_ACEP_00002216-RA
OG0000103	PBAR_PB13132-RA, PBAR_PB10046-RA	ACEP_ACEP_00012371-RA
OG0000103	PBAR_PB13284-RA	ACEP_ACEP_00010481-RA, ACEP_ACEP_00010557-RA, ACEP_ACEP_00000837-RA
OG0000104	PBAR_PB20082-RA	ACEP_ACEP_00008101-RA
OG0000104	PBAR_PB11787-RA	ACEP_ACEP_00002975-RA
OG0000104	PBAR_PB14034-RA	ACEP_ACEP_00003088-RA
OG0000105	PBAR_PB15670-RA	ACEP_ACEP_00012741-RA, ACEP_ACEP_00006948-RA
OG0000105	PBAR_PB12154-RA	ACEP_ACEP_00006782-RA, ACEP_ACEP_00014043-RA
OG0000105	PBAR_PB26549-RA	ACEP_ACEP_00017988-RA
OG0000106	PBAR_PB25517-RA	ACEP_ACEP_00001818-RA
OG0000106	PBAR_PB21230-RA	ACEP_ACEP_00003230-RA
OG0000106	PBAR_PB21278-RA	ACEP_ACEP_00016285-RA
OG0000106	PBAR_PB11759-RA	ACEP_ACEP_00000218-RA
OG0000107	PBAR_PB23684-RA	ACEP_ACEP_00009409-RA
OG0000107	PBAR_PB20696-RA, PBAR_PB13582-RA, PBAR_PB26838-RA, PBAR_PB26837-RA, PBAR_PB26836-RA, PBAR_PB23685-RA, PBAR_PB23683-RA, PBAR_PB26835-RA	ACEP_ACEP_00017804-RA
OG0000109	PBAR_PB26472-RA, PBAR_PB26461-RA, PBAR_PB26465-RA, PBAR_PB26473-RA, PBAR_PB26474-RA, PBAR_PB26475-RA, PBAR_PB26466-RA, PBAR_PB26469-RA, PBAR_PB26462-RA, PBAR_PB26470-RA	ACEP_ACEP_00002714-RA
