Orthogroup	pbar_annotation	lhum_annotation
OG0000064	PBAR_14550-RA	LHUM_11173-RA
OG0000064	PBAR_11906-RA	LHUM_23378-RA
OG0000064	PBAR_14684-RA	LHUM_16392-RA
OG0000065	PBAR_26928-RA	LHUM_26113-RA
OG0000065	PBAR_26929-RA, PBAR_26927-RA	LHUM_24938-RA
OG0000065	PBAR_26926-RA	LHUM_26112-RA
OG0000066	PBAR_13512-RA, PBAR_24637-RA, PBAR_13709-RA, PBAR_11314-RA, PBAR_10480-RA, PBAR_11306-RA, PBAR_19223-RA, PBAR_14236-RA, PBAR_18205-RA, PBAR_18371-RA, PBAR_17086-RA, PBAR_15126-RA	LHUM_23901-RA
OG0000067	PBAR_10374-RA, PBAR_21574-RA, PBAR_21571-RA, PBAR_21572-RA	LHUM_10129-RA
OG0000067	PBAR_21569-RA, PBAR_10242-RA	LHUM_21670-RA
OG0000067	PBAR_21568-RA	LHUM_21669-RA
OG0000067	PBAR_21573-RA	LHUM_21671-RA, LHUM_25955-RA, LHUM_25956-RA
OG0000069	PBAR_14300-RA	LHUM_25609-RA
OG0000069	PBAR_14763-RA	LHUM_25611-RA
OG0000069	PBAR_26458-RA, PBAR_10534-RA	LHUM_25596-RA, LHUM_25597-RA
OG0000071	PBAR_26648-RA, PBAR_17433-RA, PBAR_14273-RA, PBAR_17396-RA, PBAR_18999-RA, PBAR_17389-RA, PBAR_23377-RA, PBAR_14274-RA, PBAR_26812-RA, PBAR_20343-RA, PBAR_11900-RA, PBAR_10527-RA, PBAR_10618-RA, PBAR_17431-RA, PBAR_17432-RA	LHUM_13167-RA
OG0000075	PBAR_20950-RA	LHUM_25498-RA
OG0000075	PBAR_26849-RA	LHUM_14190-RA
OG0000075	PBAR_21279-RA	LHUM_20267-RA
OG0000075	PBAR_21504-RA	LHUM_19129-RA
OG0000075	PBAR_13081-RA	LHUM_19101-RA, LHUM_11616-RA
OG0000076	PBAR_18618-RA, PBAR_18623-RA	LHUM_26004-RA, LHUM_26005-RA
OG0000076	PBAR_11509-RA	LHUM_25149-RA
